"","Tripaction"
"1236",119418
"1237",119425
"1238",119438
"1239",119467
"1240",119480
"1241",119494
"1242",119503
"1243",119573
"1244",119583
"1245",119586
"1246",119602
"1247",119608
"1248",119622
"1249",119636
"1250",119637
"1251",119653
"1252",119767
"1253",119769
"1254",119785
"1255",119793
"1256",119807
"1257",119822
"1258",119831
"1259",119839
"1260",119850
"1261",119861
"1262",119866
"1263",119871
"1264",119876
"1265",119881
"1266",119882
"1267",119890
"1268",119893
"1269",120111
"1270",120130
"1271",120060
"1272",120071
"1273",120077
"1274",120087
"1275",120101
"1276",120123
"1277",120139
"1278",120142
"1279",120149
"1280",120152
"1281",120161
"1282",120173
"1283",120180
"1284",120194
"1285",120207
"1286",120315
"1287",120326
"1288",120341
"1289",120348
"1290",120361
"1291",120368
"1292",120382
"1293",120391
"1294",120406
"1295",120483
"1296",120493
"1297",120505
"1298",120522
"1299",120527
"1300",120793
"1301",120798
"1302",120803
"1303",120808
"1304",120813
"1305",120818
"1306",120825
"1307",120840
"1308",120843
"1309",121007
"1310",121022
"1311",121029
"1312",121041
"1313",121056
"1314",121063
"1315",121081
"1316",121082
"1317",121097
"1318",121105
"1319",121112
"1320",121115
"1321",121128
"1322",121135
"1323",121150
"1324",121157
"1325",121172
"1326",121573
"1327",121578
"1328",121595
"1329",121600
"1330",121614
"1331",121625
"1332",121635
"1333",121648
"1334",121664
"1335",121769
"1336",121776
"1337",121795
"1338",121808
"1339",121813
"1340",121822
"1341",121994
"1342",122019
"1343",122098
"1344",122108
"1345",122109
"1346",122114
"1347",122120
"1348",122124
"1349",122131
"1350",122134
"1351",122138
"1352",122143
"1353",122146
"1354",122175
"1355",122180
"1356",122188
"1357",122195
"1358",122324
"1359",122332
"1360",122338
"1361",122343
"1362",122350
"1363",122356
"1364",122361
"1365",122366
"1366",122408
"1367",122445
"1368",122455
"1369",122460
"1370",122468
"1371",122477
"1372",122482
"1373",122487
"1374",122563
"1375",122571
"1376",122578
"1377",122579
"1378",122585
"1379",122588
"1380",122591
"1381",122594
"1382",122681
"1383",122686
"1384",122691
"1385",122696
"1386",122701
"1387",122708
"1388",122713
"1389",122726
